age,monthly_income,loan_amount,credit_score,employment_years,existing_loans,default
54,15000,1530495,584,0.8,1,1
60,17144,530021,762,11.1,3,0
57,44068,150055,708,0.7,0,0
43,51506,169781,670,5.3,1,0
40,39277,1686880,554,1.9,3,1
61,19002,269168,620,1.9,1,0
56,30009,208069,841,31.8,0,0
32,61989,1442514,559,1.3,1,1
66,69499,993388,659,1.1,1,0
21,48545,1225975,678,4.4,4,0
46,98135,206894,705,6.7,2,0
39,62220,130602,560,20.2,3,0
42,31304,492147,693,6.0,3,0
30,41427,578446,545,4.1,2,1
35,21126,592248,687,2.6,1,0
50,45941,1443450,627,4.5,1,1
33,95536,110523,610,4.6,2,0
62,73952,880069,746,1.2,4,0
59,113687,184001,661,5.6,1,0
61,40874,877285,717,1.1,2,0
19,109936,302559,720,3.4,3,0
52,43652,230688,781,1.5,0,0
59,118533,271597,583,1.9,0,0
51,48382,139178,753,4.8,2,0
47,74932,456956,681,0.3,1,0
30,118784,238437,649,0.1,0,0
30,43649,829881,588,0.7,1,1
35,55883,738255,728,0.9,2,0
49,106225,1707473,606,1.1,2,0
49,45260,593066,721,7.4,2,0
52,22191,671011,834,3.0,3,0
56,177336,1356040,758,3.2,0,0
63,36980,267766,791,5.2,3,0
69,53919,134509,622,6.5,1,0
46,98086,519215,741,0.0,2,0
66,34026,141760,588,9.7,1,0
46,26776,3150749,661,22.3,1,1
61,57081,1417490,819,0.6,2,0
33,16716,2498449,631,5.3,3,1
61,41243,465076,768,0.0,1,0
64,56784,687253,761,0.3,1,0
27,41690,306330,765,1.7,0,0
47,19417,896577,578,9.4,0,1
42,127581,167303,722,5.3,2,0
56,52162,57845,667,3.0,1,0
37,115692,235021,767,2.9,1,0
22,41939,138084,547,3.1,2,1
18,28911,1443153,709,1.9,3,1
47,57613,1890859,698,10.5,5,0
66,43067,144012,520,4.2,3,1
20,24181,1243415,609,3.3,0,1
62,118405,947050,533,3.1,1,1
31,33746,126017,621,13.7,2,0
47,16249,323769,723,6.4,1,0
67,108760,278136,695,0.8,3,0
21,36221,804838,693,2.9,2,0
35,34040,165541,596,1.7,1,0
54,16996,408767,769,21.7,3,0
42,139325,255570,678,2.7,1,0
65,22613,646076,682,0.4,3,0
18,50770,371969,755,2.6,0,0
63,84759,288313,600,1.9,2,0
32,63134,373010,698,4.6,1,0
26,47297,2255391,713,1.3,3,0
32,17658,316943,636,0.2,2,1
66,30156,192373,732,0.5,1,0
41,54867,705559,718,1.7,4,0
21,30567,394423,671,2.1,3,0
29,55382,142602,669,9.0,3,0
54,73794,2637117,721,1.6,2,0
54,87334,333706,743,0.2,1,0
60,23489,326996,685,7.6,1,0
23,183136,502760,769,10.2,0,0
56,77690,1765762,732,3.4,1,0
63,48970,115405,536,1.7,4,1
41,94251,551715,567,7.4,1,0
28,202651,2349745,774,0.0,2,0
30,20676,490403,660,12.9,0,0
51,42823,164675,693,10.0,5,0
42,15000,269758,771,3.9,2,0
24,55027,522043,679,1.6,0,0
69,61037,1282912,682,0.2,4,0
21,47882,337233,610,40.0,6,0
25,33099,857109,709,7.2,1,0
37,15000,140323,726,2.1,1,0
46,61335,139389,633,0.1,1,0
68,117390,300667,606,5.1,2,0
62,34385,1397817,850,21.7,0,0
63,63833,467474,672,6.1,1,0
27,19131,557851,625,0.4,4,1
60,64494,552640,736,2.6,2,0
51,38714,1074500,675,0.6,3,0
43,31025,271528,593,12.2,2,0
58,31063,767296,718,2.0,0,0
66,38709,227588,611,6.6,1,0
20,61664,2162159,806,0.4,2,0
23,22308,233208,719,0.7,1,0
22,38627,218401,657,5.7,0,0
22,47816,686757,688,9.3,0,0
64,25351,471573,752,1.1,0,0
40,144062,574630,694,2.7,0,0
66,29375,530646,849,4.8,1,0
26,32805,184921,770,8.0,1,0
52,27255,1608298,719,4.9,0,1
37,144218,904225,605,0.5,3,1
66,68305,1312126,668,3.9,0,0
59,27946,289912,718,10.8,1,0
52,95200,617366,614,10.1,2,0
67,55293,518085,783,4.4,1,0
35,57202,1090778,602,27.2,1,0
34,39867,1119282,629,0.6,1,1
41,31267,516298,635,3.3,3,1
20,60033,131352,739,7.5,0,0
49,35346,1837156,615,0.8,2,1
52,145809,690236,536,18.0,1,0
55,22889,271916,767,2.2,1,0
30,123215,612456,644,2.2,2,0
64,45853,132074,594,1.2,1,0
42,58656,1029189,619,1.7,1,0
26,80813,136356,817,4.3,3,0
21,33585,370768,627,2.8,0,0
31,82334,537972,670,1.1,1,0
54,15000,1015682,644,8.3,2,1
51,31824,481776,581,0.3,3,1
28,28157,735253,620,9.0,2,0
58,23107,432555,575,1.6,1,1
20,43089,431167,756,3.4,1,0
45,61787,473724,688,2.4,1,0
46,74726,380314,850,4.2,1,0
26,56643,114776,623,7.9,2,0
20,32878,239268,611,22.7,0,0
42,61169,538110,802,1.8,3,0
51,52816,362472,764,4.0,2,0
29,85959,390566,710,3.1,0,0
59,78132,341573,590,34.2,3,0
26,49925,221709,819,8.3,0,0
32,28613,298200,674,2.5,1,0
57,33131,346117,645,3.2,4,0
42,35246,444237,771,1.4,1,0
22,40572,606040,678,7.0,2,0
28,57574,382911,586,9.3,1,0
51,75290,194128,683,16.8,2,0
41,47540,144572,617,4.2,1,0
32,49497,3534031,439,5.6,3,1
55,53422,179180,609,3.0,4,0
25,35970,292172,637,4.7,1,0
22,28134,669040,587,2.1,1,1
65,17098,590478,726,6.7,2,0
43,32302,671112,617,0.1,0,1
35,65113,310464,718,0.1,4,0
23,32152,535441,581,6.3,2,1
54,42502,464666,752,13.3,2,0
65,64851,344653,577,5.0,1,0
30,66997,538384,492,6.5,1,1
45,25649,1029200,778,8.7,1,0
22,89164,434625,611,2.2,1,0
30,96414,436944,820,0.6,3,0
34,24886,1039789,725,13.5,2,0
67,29902,954638,743,13.9,0,0
57,100173,1570884,763,2.9,1,0
62,44886,108555,689,1.2,1,0
49,15000,912638,689,11.1,0,0
46,21166,715877,782,6.2,5,0
68,42208,217831,688,0.0,2,0
20,24395,541051,621,0.6,0,1
57,38251,1025711,726,20.4,1,0
51,49982,227902,510,0.2,2,1
57,117871,630362,785,1.7,1,0
44,41180,888316,787,4.0,1,0
30,93295,187809,775,1.0,1,0
62,115526,394814,772,1.3,1,0
50,115911,562853,673,2.2,1,0
23,58154,234004,671,1.6,2,0
41,15093,218967,581,8.1,2,1
36,64633,397108,819,3.5,0,0
33,91953,840129,641,1.6,1,0
57,46693,740430,707,1.9,3,0
45,139629,222097,700,0.2,2,0
50,82116,745443,572,0.3,1,1
65,68938,226669,540,6.3,2,0
58,94073,122010,680,0.6,2,0
30,59875,329814,643,3.2,7,0
60,15000,1086395,672,9.2,2,1
62,36334,747708,765,2.3,0,0
42,100538,441857,697,2.1,0,0
59,30195,316993,740,10.3,4,0
53,42869,323900,715,10.0,0,0
44,26189,482640,654,10.6,1,0
55,142964,188198,599,4.2,3,0
24,134442,334875,701,15.2,0,0
22,28844,372333,686,8.5,1,0
60,53550,150112,753,2.7,2,0
62,32588,226215,667,5.0,3,0
68,70895,614402,656,0.6,0,0
48,66556,445792,661,4.0,2,0
40,79779,345583,606,1.5,1,0
59,59823,213386,795,1.7,0,0
27,285284,1562003,771,0.7,1,0
49,26456,226299,582,2.2,1,1
60,17564,541053,744,3.3,2,0
47,38721,299450,532,4.6,2,0
56,19133,455441,758,1.8,3,0
48,20020,637996,624,7.9,3,1
35,26881,147826,708,3.7,3,0
53,28188,440077,525,5.1,3,1
19,27645,1146911,584,1.6,1,1
31,66898,1810659,717,8.4,3,0
30,36180,398709,623,4.9,1,0
46,44015,457414,612,9.9,2,0
29,83829,2594920,791,0.9,3,0
56,30952,1096835,850,2.4,3,0
19,41825,269998,754,0.6,2,0
49,61050,269631,592,1.2,1,0
30,15291,950971,821,2.5,2,1
63,15000,197041,555,11.2,2,1
44,60335,1056192,655,4.1,2,1
66,65854,578064,684,2.0,1,0
58,169148,669426,833,6.9,0,0
34,53898,360271,753,0.1,1,0
57,80165,267303,642,2.3,2,0
48,43595,1424874,604,4.6,2,1
51,58590,363164,760,4.4,0,0
41,133299,318459,637,4.7,3,0
62,15000,414940,697,1.2,1,0
52,62828,516286,570,2.1,1,0
65,176548,193946,725,13.4,5,0
23,58059,281560,719,18.2,1,0
36,131971,269837,580,1.9,2,0
47,33606,869978,762,5.2,1,0
24,48087,217777,724,1.4,2,0
27,50016,108595,739,2.3,1,0
58,15000,91704,649,7.9,3,0
49,24320,136447,694,3.5,0,0
51,25384,1314846,685,9.5,0,0
45,80277,448186,668,5.0,2,0
32,82726,660663,693,5.0,2,0
47,59541,679552,780,0.2,4,0
54,80375,462752,765,6.9,3,0
46,44422,416722,585,19.1,3,0
39,100826,1020314,758,3.2,1,0
21,49279,497224,775,0.9,1,0
37,50752,1354953,667,18.9,2,0
49,41799,726987,720,1.7,3,0
53,73914,269888,719,2.6,4,0
67,38073,297239,612,0.4,1,0
21,88067,247218,649,0.6,0,0
44,24852,1171784,740,1.2,2,1
34,25352,319962,640,4.0,0,0
29,74047,233566,758,4.1,2,0
39,46484,571387,784,4.7,2,0
34,37334,409325,771,4.4,2,0
27,83619,559979,838,3.4,2,0
18,34051,2006396,672,8.1,1,1
39,43472,918462,694,13.6,1,0
43,113497,452077,705,1.6,0,0
35,123436,143381,675,0.7,2,0
67,125924,296567,723,2.8,2,0
31,41387,781395,543,0.1,2,1
64,102582,173367,696,10.7,0,0
46,27739,2452886,569,1.4,1,1
29,28448,447545,602,4.0,2,0
53,15000,460044,738,0.6,0,0
52,133749,259544,664,4.0,2,0
69,29190,658282,735,0.2,3,0
29,45436,175185,662,7.3,2,0
24,28390,2500281,768,15.6,1,1
46,74391,1269179,660,1.8,0,0
28,39129,972316,523,1.5,1,1
50,22406,145460,698,3.0,1,0
23,63895,521430,506,4.8,2,1
64,20738,1163879,563,1.0,0,1
32,29660,711040,609,8.1,2,1
49,15000,198454,599,1.1,2,0
68,20860,263004,636,0.0,1,0
28,54563,308183,596,3.7,0,0
40,15082,273006,567,0.6,0,1
43,20157,1503074,803,6.0,2,1
51,48951,95148,625,0.9,1,0
63,35377,747683,501,8.5,1,1
51,161979,157338,651,3.2,1,0
46,147316,205047,590,4.2,3,0
21,29121,88628,609,1.0,1,1
34,68479,285145,736,0.8,0,0
52,76846,1481529,644,5.0,0,0
30,34252,546811,587,1.5,0,1
58,19983,169619,715,2.4,3,0
56,48660,998209,771,3.3,2,0
32,44191,1184751,722,1.3,2,0
46,37742,480814,483,7.9,2,1
46,63920,2253058,590,14.0,0,1
28,31243,853628,683,2.8,1,0
69,24558,763846,660,12.5,1,0
49,52336,232651,653,10.7,2,0
19,61795,730817,601,0.9,2,1
64,24197,526198,567,1.0,3,1
31,85549,670556,840,3.2,2,0
37,16944,255846,682,3.7,2,0
39,34652,490156,731,2.1,2,0
28,41990,230155,680,1.9,2,0
44,33465,79403,683,2.8,2,0
20,34925,983274,675,5.9,0,0
34,150639,132997,590,0.4,1,0
61,29421,482023,558,6.2,4,1
45,212083,577464,710,13.0,1,0
46,63721,574497,695,7.2,2,0
38,51804,352757,755,1.1,0,0
64,65234,549612,738,0.5,2,0
33,223676,644850,615,3.4,2,0
54,27006,796491,770,15.7,0,0
37,25027,1770465,741,8.5,1,1
23,31165,533575,735,4.1,2,0
36,49975,465673,850,0.8,2,0
22,17405,214189,843,6.3,1,0
20,49682,627034,735,8.4,1,0
18,135418,754572,725,13.7,3,0
55,53682,379328,766,4.7,1,0
32,41125,683984,633,3.6,2,0
51,33830,350104,634,4.8,0,0
52,84044,756754,733,14.3,1,0
66,29866,918118,611,4.9,1,0
42,148425,907911,727,1.5,0,0
41,156375,486151,692,5.1,2,0
29,57185,192533,611,10.6,1,0
35,48683,271161,682,4.2,1,0
32,90980,712208,784,3.5,1,0
61,94549,3137854,686,6.6,1,0
33,30224,336860,686,5.4,3,0
44,35741,637092,706,0.3,1,0
25,22172,283554,716,6.5,0,0
63,62657,202972,653,2.6,3,0
42,73128,257544,708,14.1,3,0
34,21808,83618,596,17.7,1,0
46,37304,1306350,616,3.0,1,1
25,21843,74302,626,17.3,2,0
32,28587,358232,717,1.9,1,0
44,68227,172387,692,5.7,2,0
63,31568,218053,669,0.4,3,0
67,40925,1330703,735,0.8,1,0
69,18464,519620,710,10.0,0,0
24,54841,204369,656,11.2,2,0
20,47735,276063,597,3.8,1,0
46,31654,239813,614,2.1,2,0
61,43765,427266,562,3.0,1,0
41,54621,508038,691,10.2,1,0
20,30063,2015665,611,1.2,0,1
37,20216,95507,640,1.7,0,0
63,144834,430262,669,7.7,2,0
32,33524,343707,763,13.7,0,0
42,46255,943393,754,0.5,2,0
47,89904,587631,675,8.1,3,0
31,407352,709481,781,5.2,0,0
24,23232,583073,519,1.3,1,1
34,64208,209904,830,7.0,1,0
61,32063,1165909,735,6.5,0,0
37,35480,838025,688,0.8,2,0
53,31820,920271,608,3.5,0,1
26,24949,1216197,644,7.1,1,0
55,47821,617935,728,1.1,1,0
65,20237,1446697,730,3.1,3,1
39,86515,598458,733,0.6,6,0
19,50665,371295,621,1.8,0,0
41,63162,440082,605,1.2,3,0
25,37059,434054,695,3.5,1,0
28,39327,291993,741,0.8,2,0
30,58252,1632317,680,2.4,2,0
34,24381,560753,798,1.6,0,0
25,39545,477247,682,6.9,1,0
38,29267,603571,679,6.0,2,0
35,28728,4798834,733,0.5,2,1
47,15000,178906,777,15.3,1,0
35,109490,225025,572,6.8,1,0
63,32470,146611,590,4.8,0,0
64,98521,367294,654,3.2,3,0
48,93085,538431,850,1.0,0,0
55,22660,304900,659,16.4,2,0
49,25513,287281,670,0.0,0,0
28,227817,495798,729,5.9,2,0
62,140162,296058,758,3.5,2,0
42,48102,567014,693,11.6,2,0
50,57206,1078829,773,2.4,2,0
55,33573,760418,584,3.7,2,0
58,63539,895207,618,6.8,2,0
25,31878,1054666,772,0.2,1,0
28,15000,554744,680,0.3,3,1
39,22182,389682,579,1.2,1,0
68,49645,238517,574,0.8,0,1
41,24868,323533,615,0.0,1,0
58,47081,290992,680,4.9,4,0
34,25724,794396,717,7.9,2,0
29,30656,583865,653,15.7,2,0
63,81789,772514,710,2.9,3,0
49,56868,174858,645,1.6,2,0
32,48737,1390813,777,10.0,1,0
33,83064,314398,850,9.3,2,0
39,65405,183503,648,4.9,2,0
45,116767,311335,718,1.6,1,0
37,37200,3226836,711,12.0,0,1
50,37881,324430,691,1.0,3,0
27,22456,341097,732,0.2,1,0
57,37896,379388,718,8.0,2,0
49,87453,392818,642,4.1,1,0
67,106936,236764,785,1.4,1,0
50,87219,496118,696,5.6,2,0
19,16705,1045991,649,7.3,1,1
50,93890,568883,850,9.3,0,0
50,16266,181873,670,1.7,2,0
58,84025,335884,700,0.1,4,0
30,39313,284582,694,3.6,2,0
47,74721,461552,669,9.7,3,0
50,22038,1282550,715,1.2,1,1
30,98982,392736,612,2.7,0,0
69,20353,412287,727,1.5,2,0
43,32824,1834194,539,0.1,0,1
39,26933,891771,576,11.4,0,1
56,17110,700300,826,0.7,4,0
19,51881,2119106,579,7.3,1,1
55,144878,654645,523,2.1,2,0
56,242836,90289,581,1.6,1,0
43,51963,861243,819,14.2,1,0
63,95799,123796,536,5.4,2,0
67,56345,635142,603,5.8,2,0
32,66126,112308,563,7.1,0,1
51,39923,304527,658,2.1,1,0
59,55107,330701,645,4.1,2,0
61,67676,238924,641,1.6,0,0
66,34645,334676,828,9.0,1,0
57,46793,1010594,584,4.6,2,1
28,47332,249905,671,1.4,3,0
20,80486,684273,707,11.5,1,0
23,25858,204327,601,4.3,3,0
26,47528,380180,718,3.4,1,0
23,154384,573246,648,0.2,1,0
26,98561,199342,709,12.0,0,0
56,110139,154913,671,15.2,0,0
48,49744,655728,515,4.1,0,1
49,59432,1086491,784,2.9,0,0
58,89441,415296,845,2.2,3,0
67,125010,306860,665,1.6,1,0
29,15199,501089,608,4.3,0,1
25,22264,462491,800,0.7,1,0
25,107545,537305,831,12.6,4,0
67,41517,58536,666,1.0,2,0
45,32760,188097,662,6.8,0,0
37,23098,224991,673,1.8,0,0
64,35136,499166,546,1.3,1,1
24,21132,513344,656,4.1,2,0
28,171898,735969,817,7.2,2,0
37,48365,543652,666,6.5,1,0
33,47345,156281,596,1.3,4,1
21,69762,1407891,719,2.0,0,0
23,87326,1223877,626,10.2,2,0
39,86468,161690,674,6.4,2,0
43,93355,577327,578,6.2,0,0
20,33573,274761,597,1.6,0,0
58,40998,494395,739,7.9,1,0
59,77762,1027509,689,2.2,5,0
31,35723,2431656,617,2.6,3,1
28,48870,806954,689,1.7,0,0
35,62271,560143,631,0.6,2,0
29,78520,337102,617,2.7,1,0
40,16871,511809,773,0.1,0,0
29,75270,1312989,742,3.0,2,0
30,42606,426869,678,6.5,3,0
42,74942,217751,691,16.2,1,0
62,78132,121085,679,0.4,0,0
68,128636,666928,718,1.7,1,0
36,110422,539193,616,3.4,1,0
63,109967,263886,749,0.9,2,0
53,116564,1005314,708,0.6,0,0
62,58385,315709,658,3.0,0,0
25,49976,397235,640,4.3,0,0
46,82759,436554,747,8.6,1,0
49,76057,334114,667,30.6,1,0
68,40723,534288,624,7.4,0,0
61,62498,1111490,649,1.3,1,0
35,47999,177373,741,6.9,0,0
23,29367,653969,551,3.9,2,1
35,106327,507741,651,3.0,1,0
36,50671,500323,765,13.7,1,0
39,167581,888665,666,6.1,3,0
54,18484,460209,701,5.7,1,0
49,35099,649646,766,0.1,2,0
58,49990,784413,751,10.0,1,0
20,96996,295524,644,7.9,1,0
45,62297,562050,669,1.8,4,0
27,59058,361989,752,1.7,1,0
68,24925,397859,755,0.3,0,0
52,24485,341926,672,0.3,3,0
46,59486,644908,675,5.5,2,0
32,21623,472274,701,1.0,1,0
50,35627,606606,789,12.9,3,0
24,66207,436256,765,9.2,1,0
29,27190,122602,735,2.1,1,0
66,128439,453656,593,2.4,0,0
47,102166,465482,658,2.0,3,0
38,19094,537173,662,0.5,1,0
48,28017,275134,793,0.2,1,0
41,15000,170011,660,3.0,2,0
37,30651,729186,780,14.3,1,0
54,77639,355441,634,12.5,3,0
21,38240,507369,640,8.3,1,0
45,64632,353214,718,5.0,2,0
61,19665,440273,805,9.7,3,0
37,79125,308837,663,3.6,1,0
41,35134,203930,474,1.0,2,1
67,49380,646278,554,5.8,1,0
66,46363,273075,703,12.7,4,0
68,22858,504418,562,0.1,0,1
49,24542,614379,610,1.4,3,1
58,87612,276661,680,1.5,1,0
53,62279,168871,484,0.5,3,1
51,92044,3081319,649,1.3,2,0
53,59563,290042,586,2.4,2,0
19,53412,728493,560,14.1,2,1
32,17402,2087694,615,9.8,2,1
51,41680,832281,594,14.6,3,1
53,48221,347891,717,0.6,2,0
23,158239,419285,775,0.1,1,0
56,74026,227274,650,0.6,1,0
59,123208,895696,632,12.3,0,0
68,70159,695938,646,0.9,1,0
68,31991,293155,591,4.3,1,0
29,52589,192193,576,1.3,1,0
20,56485,153739,548,0.1,1,1
62,27903,974043,573,0.4,0,1
35,38924,487135,810,6.2,2,0
57,43327,525438,624,1.0,1,0
38,128459,229037,444,1.3,1,1
32,15000,137200,633,2.4,1,0
50,101062,955596,552,5.4,2,1
52,27943,457545,684,3.2,0,0
43,21520,914184,676,14.5,1,0
25,99505,324893,684,2.8,2,0
53,76049,366057,676,1.1,1,0
65,104058,782804,650,3.8,3,0
47,79254,794825,563,3.0,1,0
40,168705,837396,674,7.7,1,0
59,68544,349353,761,13.7,1,0
61,44627,723342,825,9.0,2,0
31,60219,1074407,660,2.5,2,0
31,103371,406842,669,1.2,0,0
19,30710,293375,720,12.3,1,0
54,33152,1295229,799,2.4,2,0
22,40726,262090,641,7.4,0,0
55,15000,732033,735,22.8,1,0
62,53255,422211,614,4.3,3,0
58,15808,101391,706,3.3,1,0
64,50606,1091294,757,6.0,1,0
31,82386,50000,576,1.1,3,1
56,36822,90463,637,3.3,1,0
42,134090,674592,756,1.9,2,0
37,20408,674452,729,0.9,2,0
19,100183,265650,762,4.7,1,0
56,73503,497951,747,4.3,1,0
23,17507,58387,652,7.2,1,0
34,249316,778855,850,10.3,1,0
42,47181,540246,690,1.2,0,0
45,28955,426550,435,7.6,1,1
19,21072,449851,657,2.3,1,1
52,42958,656451,642,5.0,2,0
54,45413,432301,743,9.5,1,0
22,52134,98790,643,1.5,0,0
18,40999,2563965,767,4.6,0,0
57,71677,1156189,724,3.3,0,0
29,38848,158267,599,7.8,2,0
53,15352,335672,668,6.0,1,0
62,44818,366287,617,7.3,2,0
40,15000,1048718,694,1.7,2,1
64,60612,78635,617,6.1,0,0
48,27239,296793,685,4.7,2,0
28,54068,108173,658,3.1,2,0
27,107844,352189,667,2.4,0,0
20,27743,303154,844,2.0,1,0
31,92665,471538,651,0.0,1,0
33,37796,272692,525,0.9,2,1
27,140353,242602,761,0.3,3,0
46,39375,726305,760,9.4,2,0
27,29605,636499,521,9.8,1,1
29,74038,687707,623,9.4,1,0
47,37741,384031,714,8.5,1,0
58,29588,280017,721,1.3,1,0
18,36801,402285,679,3.4,2,0
22,47726,660617,681,11.9,1,0
37,109678,77542,604,7.1,2,0
25,15360,606396,488,0.0,1,1
60,49704,566544,843,3.1,0,0
29,71320,464966,602,0.1,1,0
18,55053,392601,694,1.6,2,0
37,107572,56789,667,2.9,1,0
45,46882,311177,751,11.2,2,0
60,43882,1851582,689,5.3,3,1
54,69940,447003,692,2.3,0,0
64,52030,345991,469,3.4,3,1
54,38783,448437,613,8.5,1,0
29,66815,587609,739,1.8,1,0
54,33139,749421,732,4.8,4,0
66,33972,368389,603,1.5,1,0
66,35710,621527,553,3.3,1,1
61,110397,1691828,690,0.1,2,0
45,15000,989545,447,9.6,1,1
64,62153,2876946,588,0.2,1,1
32,50039,261603,820,1.3,0,0
23,17880,1691204,795,2.0,0,1
61,59032,235028,718,4.9,1,0
37,65215,587042,704,6.4,1,0
67,69827,794907,523,0.4,3,1
31,15000,294012,620,0.2,2,1
19,111283,474668,656,8.0,2,0
26,31487,916547,622,6.2,1,1
54,74008,250642,651,8.9,1,0
37,76469,1682021,783,5.6,0,0
43,28969,146140,636,7.0,3,0
46,72858,2088075,652,2.4,2,0
18,38898,985654,739,4.5,1,0
52,15000,411769,566,8.2,4,0
23,98779,320573,612,0.9,2,0
54,30790,294895,620,2.7,3,0
22,29357,396869,684,6.7,1,0
50,38490,425577,652,3.8,3,0
66,57719,1207642,654,5.7,3,0
68,47364,2137020,626,1.7,2,1
31,68107,518919,594,0.2,3,0
29,21945,224919,728,0.1,0,0
59,31400,285906,652,14.3,3,0
37,45725,382134,729,14.5,2,0
67,153082,194056,591,1.2,3,0
41,45785,172274,626,0.8,1,0
60,94007,2368344,662,0.1,2,0
51,50168,563594,669,1.3,2,0
42,36673,227178,740,2.0,1,0
67,42275,850247,645,1.4,2,0
46,44309,172356,739,8.0,2,0
56,70416,184091,709,6.9,1,0
48,111833,232714,671,0.4,0,0
64,60828,1662130,603,6.0,2,1
60,99932,361383,740,3.7,0,0
67,27477,62732,605,0.7,2,1
40,38224,1164791,678,6.7,0,0
61,31742,346242,675,0.4,0,0
55,59199,100757,663,1.0,1,0
37,39522,343400,648,0.8,2,0
40,75952,671187,614,14.0,1,0
62,28040,611236,550,6.0,3,1
69,50302,1864926,792,2.6,2,0
33,74021,223638,640,8.6,1,0
67,15000,459261,669,1.2,0,0
59,175076,252797,669,13.4,3,0
25,41361,128829,767,6.0,1,0
67,15000,898446,834,4.1,1,0
38,53898,640891,692,7.9,2,0
18,50014,555121,667,5.2,2,0
25,46670,622458,590,10.9,0,0
46,88850,255664,564,8.8,0,0
49,76762,197885,538,1.1,2,1
55,58613,455940,616,1.4,1,0
22,64221,1120145,512,0.3,2,1
64,46045,1601516,766,1.2,1,0
39,142243,835968,713,2.1,1,0
64,20180,452860,659,0.1,0,0
51,53305,548985,768,1.9,1,0
18,50971,446535,594,7.4,2,0
43,79855,194705,614,9.2,1,0
60,29545,451223,525,0.0,1,1
27,17219,152076,741,0.0,2,0
47,53857,400607,615,0.8,1,0
67,58031,1637832,681,10.3,1,0
35,119821,854513,760,3.2,1,0
34,22874,211399,789,20.3,2,0
43,98009,417507,677,10.9,2,0
25,202895,226953,710,11.0,0,0
64,39079,420832,607,0.7,0,0
57,22593,1017527,814,3.2,5,0
66,38400,745944,666,25.2,1,0
29,49434,3227812,686,0.8,2,1
44,68752,1148516,647,4.3,0,1
25,34377,520841,775,2.1,1,0
42,124631,760491,695,2.5,0,0
63,25116,376263,740,11.1,2,0
21,17265,179511,708,4.4,5,0
50,95227,1257481,662,7.1,0,0
18,15000,991717,754,5.6,1,1
36,43369,364819,707,3.8,1,0
48,318255,550811,603,7.8,0,0
33,48667,1193918,600,17.7,3,0
31,25022,870724,691,17.0,1,0
65,47361,137244,752,7.8,2,0
22,47549,537613,811,3.3,1,0
58,53981,386889,537,0.9,3,1
43,72937,1077765,682,0.2,3,0
45,26279,1009367,719,1.3,1,0
19,134932,1270455,703,2.1,1,0
67,56787,180897,760,0.7,3,0
23,75816,236265,732,1.3,1,0
26,33627,1078698,601,0.4,2,1
50,106067,275593,598,3.7,2,0
58,42014,130987,704,0.7,2,0
42,57903,677440,759,6.8,0,0
65,28004,285565,691,2.0,2,0
30,26952,1852103,553,5.6,0,1
26,74081,560703,596,10.7,0,0
30,37565,502930,735,0.4,1,0
48,29369,329260,652,22.5,2,0
58,33325,1579577,689,5.2,1,1
28,74560,589390,765,0.3,3,0
21,33609,319081,583,1.9,0,0
51,45679,234387,646,10.9,1,0
55,49464,417158,638,4.5,4,0
63,15515,202375,708,1.7,2,0
21,20278,1007620,741,14.1,2,0
55,59980,104122,561,7.7,0,0
36,31501,395690,679,6.7,1,0
23,92414,720792,749,11.0,1,0
51,87560,581691,531,7.3,4,0
35,75470,249240,674,1.7,1,0
30,146073,750283,582,4.4,2,1
58,46636,217764,628,9.2,0,0
40,72354,434561,479,1.0,2,1
36,34522,745248,791,0.9,2,0
62,213506,640708,651,0.9,1,0
28,161164,257807,615,1.1,1,1
18,49371,1153135,706,0.5,1,0
41,61818,474186,596,9.1,2,0
24,110810,801625,589,8.5,1,0
42,44878,1503461,800,0.8,2,0
38,33058,1081669,824,6.1,2,0
32,82817,1083929,632,4.9,2,1
18,51383,516145,765,1.6,3,0
29,54709,834967,708,1.3,1,0
24,29715,524854,566,1.4,1,1
32,17490,168138,605,6.6,0,0
38,56482,563653,804,1.9,0,0
36,84370,543121,565,1.6,3,1
46,42809,705726,850,0.1,1,0
42,116059,399353,634,11.9,1,0
50,32133,240586,806,7.0,1,0
66,26034,748034,655,3.2,3,0
49,47082,154721,743,14.3,2,0
66,46650,1421261,791,1.7,1,0
52,77806,367642,791,5.6,1,0
61,30792,538435,633,1.8,1,0
55,111397,691657,611,1.9,1,0
43,159555,709666,673,9.3,1,0
28,47882,143316,575,7.7,0,0
52,103759,855352,699,1.7,3,0
25,26006,563838,614,0.4,1,1
63,93445,266143,766,2.2,0,0
31,91891,242866,634,7.1,2,0
27,82294,338661,540,0.5,2,1
19,48565,156530,792,5.6,1,0
63,15000,1754709,694,11.0,4,1
26,33355,1452680,682,1.0,2,1
20,33672,634987,767,9.9,2,0
38,27256,370008,749,0.3,0,0
43,52751,377873,619,5.5,2,0
25,38124,811348,644,7.8,3,0
65,29888,1805343,590,2.9,0,1
19,25970,280318,562,1.1,0,0
23,31910,180941,726,12.9,3,0
45,96076,1525926,711,0.1,3,0
46,32971,105904,740,4.0,1,0
43,35991,197437,782,2.3,2,0
42,37271,363129,741,3.1,3,0
29,60077,126963,749,3.8,3,0
22,64456,1077031,513,3.8,5,1
51,15000,878107,655,1.1,4,1
65,90488,279334,757,5.7,2,0
54,116055,1231435,586,0.1,1,1
32,26105,1410470,687,0.1,1,1
